year,gdp_usd,gdp_growth,gdp_per_capita,current_account,country
2024,160610994054.734,3.79336515978963,4153.1943359375,-1.16354070328467,Morocco
2023,146036093666.762,3.65564411017931,3813.72607421875,-1.04767760599469,Morocco
2022,131245312804.483,1.81269242194809,3463.1376953125,-3.6574911910038,Morocco
2021,142022058447.231,8.15473889823681,3785.93627929688,-2.35786783699057,Morocco
2020,121353645057.144,-7.17820744246774,3268.0302734375,-1.12759931996509,Morocco
2019,128920266409.458,2.89097476137077,3508.09765625,-3.4182057355437,Morocco
2018,127341147581.818,3.06564133025955,3501.69799804688,-4.87290163435469,Morocco
2017,118540573367.844,5.05789816173446,3296.52661132813,-3.10210665362038,Morocco
2016,111572947004.917,0.52118550608968,3140.85546875,-3.74613174513,Morocco
2015,110413823841.592,4.34458297635238,3146.24780273438,-1.95690775142638,Morocco
2014,119130841411.664,2.7192440802029,3435.40698242188,-5.53783287947428,Morocco
2013,115739287305.08,4.12221286860944,3379.7431640625,-6.77731894447503,Morocco
2012,106937392311.129,3.06234368502997,3164.17724609375,-8.95034696939186,Morocco
2011,110080631332.375,5.52464523319847,3301.98876953125,-7.26703537698177,Morocco
2010,100865329473.44,3.49955709403216,3067.9853515625,-3.89149487244855,Morocco
