division,ice,annee,trimestre,type
"1- Alimentation, boissons et tabacs",95.2,2025,t3,export
2- Energie et lubrifiants,76.1,2025,t3,export
3- Produits bruts d’origine animale et végétale,152.4,2025,t3,export
4- Produits bruts d’origine minérale,126.5,2025,t3,export
5- Demi-Produits,139.2,2025,t3,export
6- Produits finis d’équipement agricole,82.2,2025,t3,export
7- Produits finis d’équipement industriel,117.2,2025,t3,export
8- Produits finis de consommation,107.7,2025,t3,export
"1- Alimentation, boissons et tabacs",120.9,2025,t3,import
2- Energie et lubrifiants,86.5,2025,t3,import
3- Produits bruts d’origine animale et végétale,109.7,2025,t3,import
4- Produits bruts d’origine minérale,109.3,2025,t3,import
5- Demi-Produits,115.5,2025,t3,import
6- Produits finis d’équipement agricole,111.2,2025,t3,import
7- Produits finis d’équipement industriel,90.9,2025,t3,import
8- Produits finis de consommation,114.0,2025,t3,import
