year,value_usd,value_percent_gdp,country,fdi_growth_rate
2024,1638999697.24144,1.02047789871899,Morocco,
2023,1060023610.0797,0.725864122672683,Morocco,-35.32496608365459
2022,2294356059.17333,1.74814323662076,Morocco,116.44386383062017
2021,2264148625.4107,1.59422321445366,Morocco,-1.3165974671565994
2020,1418713118.61153,1.16907334587558,Morocco,-37.34010644490328
2019,1720825003.13095,1.33479789567415,Morocco,21.294783318497235
2018,3544387229.27821,2.78337936840164,Morocco,105.97023072243749
2017,2680109856.21236,2.26092196120537,Morocco,-24.384394738998495
2016,2153363904.93515,1.93000540251056,Morocco,-19.653894039314814
2015,3252913902.35666,2.94611108390154,Morocco,51.061968434667506
2014,3525384612.43801,2.95925435484489,Morocco,8.376204174477287
2013,3360909924.36421,2.90386264044041,Morocco,-4.6654395521416925
2012,2841954371.38454,2.65758712641507,Morocco,-15.440924174064019
2011,2521362080.65559,2.29046840496639,Morocco,-11.280698027982917
2010,1240625859.11403,1.2299824583835,Morocco,-50.79541059840761
