Year,Periode,EUR_MAD_moy,USD_MAD_moy,KPI1_Vol_EUR_ann,KPI1_Vol_USD_ann,KPI2_Var_EUR,KPI2_Var_USD,KPI3_Balance,KPI4_Tx_Couv,KPI5_IDE_USD,KPI6_Var_IDE,KPI7_Inflation,KPI8_Reserves_USD,KPI9_Mois_Couv
2010,Avant (2010-2017),11.15963141762452,8.425993103448276,0.17242347730965546,0.6121533017691255,,,-10050304390.151703,74.93503761448032,1240625859.11403,-50.79541059840761,,23709466593.9932,7.27489844884879
2011,Avant (2010-2017),11.258931538461539,8.093345,0.1544550233498362,0.6047940581045874,0.8898154170234651,-3.947880082077715,-14219008328.3116,71.21349759883086,2521362080.65559,-11.280698027982917,0.9069249096918197,20167412691.7066,4.9628990319259
2012,Avant (2010-2017),11.097631417624521,8.634865134099616,0.13215543128926402,0.4286823468775533,-1.4326414570157153,6.690931056313754,-15001080727.755695,69.58719163903879,2841954371.38454,-15.44092417406402,1.294843476273888,17138210439.2506,4.12037435216039
2013,Avant (2010-2017),11.16684559386973,8.408313793103448,0.12375553675092849,0.37485210221433224,0.6236842227007822,-2.6236812906492712,-15452612954.559303,69.38107754505484,3360909924.36421,-4.6654395521416925,1.8723212271599232,18797794939.8508,4.54168416711332
2014,Avant (2010-2017),11.164298850574713,8.414848275862068,0.13027315827124605,0.32277519645360003,-0.022806290940524665,0.07771454443077364,-13852049947.557503,72.15653267593294,3525384612.43801,8.376204174477287,0.44286979627989886,20272045638.8487,4.57755268835335
2015,Avant (2010-2017),10.819757471264369,9.749890804597701,0.27003870321138657,0.5100119500439008,-3.0860995743822173,15.865319076104933,-8056861553.889698,80.43331733244463,3252913902.35666,51.06196843466751,1.5579071134626865,22749566243.6606,6.25795105188852
2016,Avant (2010-2017),10.851404214559388,9.806124521072796,0.2544023668088546,0.3411654790968485,0.29249032040752354,0.5767625258795483,-10770661075.2858,76.09821109366308,2153363904.93515,-19.65389403931481,1.6353111432706235,25096263443.799,6.33785199898356
2017,Avant (2010-2017),10.955245384615385,9.707470384615386,0.23259767994057867,0.30243059344002876,0.9569376276360009,-1.0060461321433234,-10621752088.6818,78.44333696289473,2680109856.21236,-24.38439473899849,0.7546632493236505,26189585939.2967,6.02529305118119
2018,Transition (2018-2020),11.082244444444445,9.389132567049808,0.17409628253251194,0.27817892349975476,1.1592534477357086,-3.2793076357985784,-12222219617.898903,77.89823311479259,3544387229.27821,105.97023072243748,1.7736009044657886,24461023093.2087,5.04505638234771
2019,Transition (2018-2020),10.761329501915709,9.617555938697318,0.17239526714385545,0.21665264691832017,-2.8957576611623237,2.4328485088083385,-10071252426.413193,81.35785693113708,1720825003.13095,21.294783318497235,0.33326390335346456,26412762236.8499,5.58422656502833
2020,Transition (2018-2020),10.81719503816794,9.491917938931298,0.2715674260580337,0.32334635084859026,0.5191322897629469,-1.3063402029251714,-8804922307.3721,80.93128155543499,1418713118.61153,-37.34010644490328,-11.016538647844431,35997639773.4544,8.9354144570375
2021,Après (2021-2025),10.625313026819924,8.991470881226054,0.20707614694861914,0.24115822528697786,-1.7738610672264787,-5.2723491809031575,-13138811839.6829,78.17449976991352,2264148625.4107,-1.3165974671565994,-3.0406719029473672,35648269520.1527,6.77129241409979
2022,Après (2021-2025),10.680836153846155,10.166967692307692,0.4280088052086572,0.4564028764677014,0.5225552121248755,13.073465138346197,-15070969799.205902,79.56558639298198,2294356059.17333,116.44386383062016,6.657042027590632,32314245660.4383,5.06212133329447
2023,Après (2021-2025),10.951511538461538,10.132081538461538,0.32748952271596365,0.3231642524043962,2.534215305960985,-0.3431323370147843,-12095698962.7211,83.66344815819917,1060023610.0797,-35.32496608365459,6.091141525041355,36327701787.7523,5.63476498950227
2024,Après (2021-2025),10.749332061068701,9.942108778625954,0.2904563342843715,0.28332534690180355,-1.8461330811074483,-1.8749628012214914,-13154358446.787704,83.68119808388435,1638999697.24144,,0.9852565920045464,37133907722.7893,5.27123760712714
2025,Après (2021-2025),10.547578544061302,9.346950957854407,0.298749373245838,0.30190537174705434,-1.8768935210225601,-5.98623324310279,,,,,0.7019021548396065,,
2026,Après (2021-2025),10.758204545454545,9.162236363636364,0.2062482476410814,0.22883951203309733,1.996913324829741,-1.976201598263705,,,,,,,
