year,value_usd,value_months,country
2024,37133907722.7893,5.27123760712714,Morocco
2023,36327701787.7523,5.63476498950227,Morocco
2022,32314245660.4383,5.06212133329447,Morocco
2021,35648269520.1527,6.77129241409979,Morocco
2020,35997639773.4544,8.9354144570375,Morocco
2019,26412762236.8499,5.58422656502833,Morocco
2018,24461023093.2087,5.04505638234771,Morocco
2017,26189585939.2967,6.02529305118119,Morocco
2016,25096263443.799,6.33785199898356,Morocco
2015,22749566243.6606,6.25795105188852,Morocco
2014,20272045638.8487,4.57755268835335,Morocco
2013,18797794939.8508,4.54168416711332,Morocco
2012,17138210439.2506,4.12037435216039,Morocco
2011,20167412691.7066,4.9628990319259,Morocco
2010,23709466593.9932,7.27489844884879,Morocco
